PFAM	KO	PATHWAY	PATHWAY NAME
PF00763		2	Single Copy bacteria
PF00825		2	Single Copy bacteria
PF00828		2	Single Copy bacteria
PF00829		2	Single Copy bacteria
PF00830		2	Single Copy bacteria
PF00886		2	Single Copy bacteria
PF00889		2	Single Copy bacteria
PF01016		2	Single Copy bacteria
PF01018		2	Single Copy bacteria
PF01025		2	Single Copy bacteria
PF01084		2	Single Copy bacteria
PF01121		2	Single Copy bacteria
PF01176		2	Single Copy bacteria
PF01193		2	Single Copy bacteria
PF01195		2	Single Copy bacteria
PF01196		2	Single Copy bacteria
PF01245		2	Single Copy bacteria
PF01250		2	Single Copy bacteria
PF01252		2	Single Copy bacteria
PF01281		2	Single Copy bacteria
PF01330		2	Single Copy bacteria
PF01409		2	Single Copy bacteria
PF01416		2	Single Copy bacteria
PF01632		2	Single Copy bacteria
